# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.177     -0.041     -0.511     -0.006     0.014     -2.805     -2.545
  0.500      9.331     -0.036     -0.350     -0.015    -0.005      0.865      0.563
  1.000      9.186     -0.039     -0.313     -0.014    -0.012      0.368     -0.473
  1.500      8.776     -0.039     -0.292     -0.012    -0.009      0.617     -0.245
  2.000      8.227     -0.055     -0.271     -0.008    -0.007      0.802     -0.037
  2.500      7.591     -0.078     -0.296     -0.002    -0.005      0.533      0.476
  3.000      7.390     -0.073     -0.340     -0.004     0.000     -0.067      0.979
  3.500      7.871     -0.017     -0.337     -0.007    -0.002     -1.157      1.029
  4.000      8.722      0.149     -0.399      0.005    -0.004     -3.284      2.117
  4.500     10.484      0.365     -0.409      0.021    -0.005     -5.332      3.736
  5.000     14.390      0.467     -0.482      0.012    -0.011     -7.245      1.871
  5.500     18.819      0.530     -0.512      0.003    -0.011     -7.948     -0.198
  6.000     22.859      0.588     -0.515      0.004    -0.014     -7.454     -1.146
  6.500     26.156      0.620     -0.509      0.007    -0.015     -6.632     -0.559
  7.000     29.271      0.584     -0.387      0.011    -0.027     -6.137      0.205
  7.500     32.624      0.565     -0.302      0.010    -0.035     -6.243     -0.499
  8.000     35.486      0.532     -0.272      0.013    -0.034     -4.503     -2.177
