# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.708     -0.024     -0.469     -0.007     0.013     -2.650     -2.439
  0.750      7.719     -0.024     -0.283     -0.016    -0.011      0.289     -0.359
  1.500      7.223     -0.028     -0.255     -0.012    -0.010      0.586     -0.207
  2.250      6.342     -0.057     -0.247     -0.004    -0.007      0.694      0.262
  3.000      5.903     -0.060     -0.303     -0.005    -0.002     -0.044      0.910
  3.750      6.628      0.067     -0.325     -0.002    -0.006     -1.986      1.568
  4.500      8.926      0.326     -0.358      0.014    -0.010     -4.914      3.571
  5.250     14.802      0.455     -0.429     -0.002    -0.021     -7.242      0.844
  6.000     20.969      0.540     -0.454     -0.012    -0.029     -6.957     -1.164
  6.750     25.639      0.552     -0.421     -0.015    -0.034     -5.958      0.122
  7.500     30.477      0.493     -0.245     -0.016    -0.056     -5.806     -0.514
