# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.166     -0.024     -0.503     -0.007     0.014     -2.786     -2.529
  0.750      9.235     -0.022     -0.318     -0.016    -0.010      0.225     -0.431
  1.500      8.745     -0.030     -0.289     -0.012    -0.009      0.615     -0.263
  2.250      7.817     -0.066     -0.279     -0.004    -0.006      0.741      0.284
  3.000      7.343     -0.069     -0.339     -0.004     0.000     -0.056      0.977
  3.750      8.038      0.072     -0.365      0.000    -0.003     -2.167      1.735
  4.500     10.392      0.370     -0.407      0.022    -0.004     -5.298      3.730
  5.250     16.459      0.506     -0.495      0.008    -0.011     -7.778      0.799
  6.000     22.727      0.593     -0.514      0.005    -0.013     -7.445     -1.147
  6.750     27.490      0.619     -0.482      0.009    -0.015     -6.346      0.087
  7.500     32.460      0.567     -0.298      0.010    -0.035     -6.188     -0.513
