# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.700     -0.039     -0.466     -0.006     0.012     -2.658     -2.438
  0.250      8.082     -0.047     -0.315     -0.014    -0.006      1.425      0.768
  0.500      7.803     -0.036     -0.308     -0.015    -0.008      0.866      0.539
  0.750      7.720     -0.035     -0.285     -0.015    -0.012      0.286     -0.340
  1.000      7.639     -0.036     -0.276     -0.014    -0.014      0.392     -0.397
  1.250      7.423     -0.034     -0.262     -0.014    -0.012      0.491     -0.143
  1.500      7.239     -0.034     -0.257     -0.013    -0.011      0.585     -0.204
  1.750      7.007     -0.037     -0.248     -0.011    -0.009      0.651     -0.237
  2.000      6.720     -0.046     -0.240     -0.008    -0.009      0.752     -0.061
  2.250      6.355     -0.059     -0.249     -0.004    -0.007      0.700      0.260
  2.500      6.099     -0.063     -0.265     -0.002    -0.006      0.516      0.438
  2.750      5.970     -0.066     -0.283     -0.002    -0.006      0.294      0.616
  3.000      5.906     -0.060     -0.307     -0.004    -0.002     -0.037      0.917
  3.250      6.131     -0.043     -0.311     -0.007    -0.004     -0.507      0.794
  3.500      6.391     -0.009     -0.305     -0.008    -0.005     -1.047      0.921
  3.750      6.649      0.067     -0.331     -0.002    -0.007     -1.991      1.564
  4.000      7.258      0.138     -0.358      0.002    -0.008     -2.998      1.939
  4.250      8.103      0.217     -0.371      0.006    -0.009     -4.226      2.394
  4.500      8.966      0.324     -0.365      0.013    -0.010     -4.928      3.581
  4.750     10.757      0.370     -0.402      0.009    -0.017     -5.848      2.814
  5.000     12.757      0.418     -0.424      0.003    -0.021     -6.742      1.816
  5.250     14.862      0.453     -0.433     -0.003    -0.022     -7.264      0.828
  5.500     17.027      0.480     -0.445     -0.008    -0.023     -7.439     -0.117
  5.750     19.158      0.517     -0.448     -0.013    -0.026     -7.293     -0.933
  6.000     21.031      0.538     -0.455     -0.012    -0.029     -6.959     -1.160
  6.250     22.646      0.558     -0.459     -0.012    -0.031     -6.479     -0.810
  6.500     24.247      0.558     -0.450     -0.015    -0.032     -6.176     -0.452
  6.750     25.711      0.549     -0.421     -0.016    -0.035     -5.973      0.126
  7.000     27.337      0.517     -0.329     -0.015    -0.046     -5.754      0.147
  7.250     28.917      0.510     -0.291     -0.017    -0.050     -5.796      0.016
  7.500     30.560      0.492     -0.249     -0.017    -0.056     -5.837     -0.502
  7.750     32.071      0.482     -0.241     -0.018    -0.056     -5.366     -0.993
  8.000     33.323      0.460     -0.230     -0.016    -0.056     -4.450     -1.654
  8.250     34.028      0.448     -0.214     -0.021    -0.058     -1.396     -3.937
  8.500     34.384      0.438     -0.197     -0.020    -0.056     -0.314     -3.321
