# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.396     -0.018     -0.543     -0.017     0.013     -4.409     -3.469
  0.500      9.068     -0.006     -0.437     -0.026    -0.003      0.249      0.010
  1.000      8.962     -0.045     -0.378     -0.018    -0.015      0.266     -0.512
  1.500      8.558     -0.056     -0.358     -0.014    -0.012      0.626     -0.333
  2.000      7.969     -0.074     -0.344     -0.008    -0.010      0.834      0.000
  2.500      7.358     -0.095     -0.369     -0.002    -0.006      0.568      0.401
  3.000      7.191     -0.092     -0.410     -0.005    -0.004     -0.078      0.925
  3.500      7.667     -0.031     -0.396     -0.009    -0.005     -1.253      1.090
  4.000      8.352      0.133     -0.443      0.009    -0.004     -3.525      2.315
  4.500     10.242      0.337     -0.437      0.027    -0.001     -5.665      3.284
  5.000     14.121      0.446     -0.499      0.017    -0.006     -7.323      1.654
  5.500     18.653      0.539     -0.539      0.001    -0.005     -7.994     -0.380
  6.000     22.597      0.594     -0.537      0.003    -0.007     -7.431     -1.075
  6.500     25.770      0.636     -0.538      0.013    -0.007     -6.583     -0.469
  7.000     28.872      0.597     -0.415      0.016    -0.019     -6.187      0.257
  7.500     32.213      0.587     -0.334      0.013    -0.026     -6.231     -0.355
  8.000     35.149      0.575     -0.313      0.013    -0.026     -4.791     -1.821
