# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.539     -0.040     -0.489     -0.006     0.013     -2.769     -2.512
  0.250      8.976     -0.047     -0.339     -0.014    -0.005      1.507      0.857
  0.500      8.679     -0.035     -0.332     -0.015    -0.006      0.853      0.549
  0.750      8.605     -0.035     -0.307     -0.015    -0.011      0.245     -0.389
  1.000      8.530     -0.036     -0.297     -0.014    -0.013      0.370     -0.446
  1.250      8.316     -0.035     -0.283     -0.014    -0.011      0.492     -0.184
  1.500      8.127     -0.036     -0.278     -0.012    -0.010      0.603     -0.238
  1.750      7.885     -0.039     -0.268     -0.011    -0.009      0.680     -0.252
  2.000      7.586     -0.050     -0.259     -0.008    -0.008      0.787     -0.053
  2.250      7.213     -0.064     -0.269     -0.004    -0.007      0.729      0.273
  2.500      6.947     -0.069     -0.285     -0.002    -0.005      0.537      0.457
  2.750      6.814     -0.072     -0.304     -0.002    -0.005      0.307      0.635
  3.000      6.741     -0.065     -0.329     -0.004    -0.001     -0.046      0.960
  3.250      6.964     -0.047     -0.333     -0.007    -0.003     -0.539      0.850
  3.500      7.221     -0.011     -0.327     -0.007    -0.003     -1.109      0.993
  3.750      7.466      0.070     -0.355     -0.001    -0.005     -2.104      1.668
  4.000      8.082      0.146     -0.385      0.004    -0.006     -3.164      2.043
  4.250      8.941      0.234     -0.401      0.009    -0.006     -4.450      2.483
  4.500      9.821      0.350     -0.394      0.018    -0.007     -5.167      3.677
  4.750     11.647      0.400     -0.434      0.014    -0.013     -6.124      2.871
  5.000     13.676      0.449     -0.461      0.008    -0.015     -7.049      1.858
  5.250     15.835      0.484     -0.473      0.003    -0.015     -7.591      0.799
  5.500     18.044      0.511     -0.487     -0.001    -0.016     -7.751     -0.170
  5.750     20.180      0.548     -0.488     -0.004    -0.018     -7.617     -0.951
  6.000     22.066      0.569     -0.491     -0.002    -0.020     -7.259     -1.149
  6.250     23.717      0.594     -0.496      0.000    -0.021     -6.782     -0.863
  6.500     25.331      0.596     -0.486     -0.002    -0.021     -6.453     -0.520
  6.750     26.805      0.590     -0.457     -0.001    -0.023     -6.214      0.106
  7.000     28.437      0.558     -0.364      0.001    -0.035     -5.981      0.176
  7.250     30.048      0.553     -0.325     -0.001    -0.038     -6.025      0.046
  7.500     31.736      0.537     -0.281     -0.001    -0.043     -6.072     -0.506
  7.750     33.289      0.528     -0.271     -0.001    -0.043     -5.576     -1.074
  8.000     34.554      0.504     -0.256      0.001    -0.043     -4.478     -1.961
  8.250     35.183      0.490     -0.229     -0.002    -0.042     -1.286     -4.213
  8.500     35.505      0.478     -0.211      0.000    -0.040     -0.206     -3.503
