# DCB sat:
G 1      -9.994
G 3      13.067
G 4      -0.059
G 6      17.522
G 7     -15.424
G 8      13.811
G 9      15.030
G11      -6.782
G14      -6.146
G15     -16.018
G17     -20.132
G21     -13.657
G25      11.415
G26      18.331
G27      11.423
G28     -10.714
G30       9.580
G31     -17.855
G32       6.601
R 2       8.105
R 3     -10.111
R 4     -11.078
R 5       2.383
R 6       8.654
R 7      -9.574
R 8     -18.442
R 9      -3.148
R12      10.521
R14      12.865
R15       6.957
R16       7.166
R17      -1.626
R18      15.540
R19     -15.478
R20      -6.956
R21      -1.663
R22       2.136
R24       3.750
# DCB rec:
G     -58.104
R     -26.984
