# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      4.427     -0.015     -0.447     -0.016     0.008     -4.549     -3.580
  0.250      6.229     -0.016     -0.340     -0.022    -0.007      0.503      0.094
  0.500      6.162     -0.009     -0.334     -0.024    -0.009      0.326     -0.039
  0.750      6.133     -0.024     -0.302     -0.022    -0.016      0.131     -0.579
  1.000      5.997     -0.039     -0.286     -0.018    -0.019      0.376     -0.336
  1.250      5.777     -0.040     -0.277     -0.017    -0.016      0.477     -0.116
  1.500      5.592     -0.042     -0.269     -0.015    -0.015      0.573     -0.194
  1.750      5.371     -0.043     -0.262     -0.013    -0.014      0.689     -0.239
  2.000      5.071     -0.052     -0.258     -0.010    -0.013      0.712     -0.030
  2.250      4.709     -0.057     -0.270     -0.005    -0.010      0.665      0.218
  2.500      4.512     -0.063     -0.283     -0.004    -0.009      0.506      0.315
  2.750      4.380     -0.062     -0.302     -0.005    -0.008      0.295      0.536
  3.000      4.364     -0.060     -0.320     -0.007    -0.008     -0.039      0.817
  3.250      4.548     -0.043     -0.316     -0.010    -0.009     -0.547      0.882
  3.500      4.883     -0.011     -0.309     -0.012    -0.011     -1.014      0.806
  3.750      5.271      0.029     -0.321     -0.011    -0.014     -1.690      1.134
  4.000      5.609      0.110     -0.337     -0.001    -0.014     -2.865      1.894
  4.250      6.393      0.181     -0.336      0.003    -0.015     -3.869      2.260
  4.500      7.375      0.248     -0.323      0.005    -0.016     -4.685      2.899
  4.750      8.956      0.298     -0.356     -0.001    -0.019     -5.469      2.592
  5.000     10.898      0.352     -0.359     -0.009    -0.029     -6.154      1.750
  5.250     13.001      0.395     -0.380     -0.020    -0.035     -6.585      0.774
  5.500     15.228      0.452     -0.395     -0.033    -0.042     -6.797     -0.270
  5.750     17.266      0.488     -0.416     -0.037    -0.050     -6.774     -1.064
  6.000     19.036      0.497     -0.413     -0.041    -0.053     -6.331     -1.147
  6.250     20.576      0.505     -0.412     -0.044    -0.054     -5.866     -0.745
  6.500     21.983      0.508     -0.409     -0.046    -0.056     -5.652     -0.130
  6.750     23.519      0.486     -0.361     -0.050    -0.062     -5.438      0.057
  7.000     25.055      0.451     -0.281     -0.052    -0.074     -5.284      0.154
  7.250     26.628      0.444     -0.242     -0.057    -0.080     -5.304     -0.072
  7.500     28.148      0.430     -0.209     -0.059    -0.086     -5.262     -0.442
  7.750     29.517      0.417     -0.207     -0.060    -0.088     -5.070     -0.367
  8.000     30.881      0.397     -0.216     -0.061    -0.091     -4.609     -0.863
  8.250     31.818      0.405     -0.202     -0.069    -0.093     -2.585     -2.411
  8.500     32.184      0.406     -0.186     -0.076    -0.093     -0.619     -3.020
