# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      9.536     -0.026     -0.508     -0.004     0.016     -2.345     -2.126
  0.750     10.494     -0.026     -0.296     -0.013    -0.009      0.311     -0.182
  1.500     10.077     -0.025     -0.271     -0.012    -0.008      0.631     -0.331
  2.250      9.110     -0.064     -0.255     -0.005    -0.005      0.777      0.350
  3.000      8.622     -0.062     -0.323     -0.003     0.000     -0.064      0.926
  3.750      9.246      0.087     -0.366      0.002    -0.001     -2.231      1.868
  4.500     11.998      0.348     -0.450      0.016    -0.003     -5.792      3.313
  5.250     17.934      0.529     -0.524      0.011    -0.008     -8.027      0.812
  6.000     24.327      0.611     -0.545      0.011    -0.010     -7.688     -1.217
  6.750     29.230      0.621     -0.483      0.019    -0.013     -6.511     -0.061
  7.500     34.233      0.583     -0.331      0.022    -0.025     -6.543     -0.530
