# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.963     -0.020     -0.507     -0.017     0.011     -4.517     -3.542
  0.250      7.809     -0.017     -0.405     -0.023    -0.003      0.783      0.413
  0.500      7.677     -0.010     -0.398     -0.025    -0.005      0.260     -0.020
  0.750      7.674     -0.027     -0.361     -0.022    -0.013      0.008     -0.689
  1.000      7.555     -0.045     -0.343     -0.018    -0.017      0.300     -0.451
  1.250      7.343     -0.049     -0.332     -0.016    -0.014      0.459     -0.223
  1.500      7.153     -0.052     -0.324     -0.014    -0.013      0.601     -0.281
  1.750      6.915     -0.054     -0.316     -0.012    -0.013      0.743     -0.284
  2.000      6.591     -0.065     -0.310     -0.009    -0.011      0.784     -0.012
  2.250      6.209     -0.075     -0.323     -0.004    -0.008      0.720      0.266
  2.500      6.002     -0.082     -0.336     -0.003    -0.007      0.542      0.366
  2.750      5.866     -0.082     -0.356     -0.004    -0.006      0.305      0.588
  3.000      5.845     -0.079     -0.376     -0.006    -0.006     -0.066      0.888
  3.250      6.012     -0.058     -0.370     -0.009    -0.006     -0.635      1.018
  3.500      6.344     -0.023     -0.362     -0.010    -0.008     -1.168      0.980
  3.750      6.744      0.023     -0.376     -0.009    -0.010     -1.933      1.319
  4.000      7.049      0.124     -0.401      0.005    -0.008     -3.275      2.153
  4.250      7.872      0.214     -0.405      0.012    -0.008     -4.394      2.481
  4.500      8.896      0.301     -0.391      0.018    -0.008     -5.290      3.135
  4.750     10.582      0.356     -0.433      0.013    -0.009     -6.123      2.683
  5.000     12.639      0.409     -0.443      0.006    -0.016     -6.873      1.693
  5.250     14.813      0.452     -0.463     -0.002    -0.019     -7.370      0.689
  5.500     17.096      0.506     -0.481     -0.013    -0.021     -7.533     -0.337
  5.750     19.196      0.540     -0.492     -0.016    -0.024     -7.396     -1.069
  6.000     20.988      0.558     -0.487     -0.015    -0.026     -7.009     -1.105
  6.250     22.603      0.576     -0.486     -0.013    -0.027     -6.532     -0.872
  6.500     24.074      0.586     -0.485     -0.011    -0.027     -6.226     -0.340
  6.750     25.604      0.568     -0.438     -0.013    -0.031     -5.985      0.034
  7.000     27.168      0.539     -0.360     -0.012    -0.042     -5.835      0.211
  7.250     28.788      0.534     -0.318     -0.016    -0.047     -5.858      0.028
  7.500     30.411      0.525     -0.282     -0.017    -0.051     -5.847     -0.397
  7.750     31.887      0.517     -0.275     -0.017    -0.052     -5.574     -0.564
  8.000     33.261      0.504     -0.273     -0.018    -0.053     -4.704     -1.456
  8.250     34.094      0.498     -0.247     -0.023    -0.052     -2.444     -2.965
  8.500     34.478      0.495     -0.224     -0.027    -0.050     -0.685     -3.216
