# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      4.843     -0.077     -0.556      0.010     0.030     -2.615     -2.466
  1.000      5.793     -0.070     -0.294     -0.001     0.000      0.495     -0.206
  2.000      4.958     -0.056     -0.243      0.003     0.003      0.734     -0.100
  3.000      4.197     -0.051     -0.314      0.008     0.009     -0.069      0.789
  4.000      5.507      0.146     -0.383      0.012     0.006     -2.980      2.128
  5.000     11.057      0.431     -0.487      0.014    -0.005     -6.674      1.798
  6.000     19.269      0.570     -0.566      0.001    -0.016     -6.988     -1.067
  7.000     25.520      0.678     -0.532      0.004    -0.028     -5.650     -0.364
