# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.253     -0.010     -0.509     -0.005     0.018     -2.277     -2.085
  1.250      8.958     -0.017     -0.262     -0.013    -0.009      0.489     -0.302
  2.500      7.490     -0.054     -0.264      0.000    -0.004      0.540      0.556
  3.750      7.957      0.090     -0.350      0.002    -0.002     -2.115      1.773
  5.000     14.258      0.468     -0.476      0.012    -0.014     -7.197      2.067
  6.250     24.490      0.597     -0.503      0.007    -0.017     -7.017     -0.825
  7.500     32.748      0.519     -0.269      0.009    -0.037     -6.393     -0.565
