# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.908     -0.027     -0.454     -0.005     0.013     -2.218     -2.068
  0.750      7.790     -0.029     -0.244     -0.014    -0.011      0.411     -0.078
  1.500      7.361     -0.025     -0.222     -0.012    -0.010      0.580     -0.241
  2.250      6.486     -0.053     -0.208     -0.006    -0.007      0.686      0.309
  3.000      6.067     -0.051     -0.267     -0.005    -0.002     -0.059      0.811
  3.750      6.739      0.074     -0.301     -0.002    -0.005     -1.943      1.597
  4.500      9.351      0.283     -0.365      0.006    -0.011     -5.144      3.150
  5.250     15.030      0.443     -0.412     -0.004    -0.024     -7.181      0.845
  6.000     21.227      0.520     -0.441     -0.014    -0.032     -6.890     -1.204
  6.750     25.997      0.509     -0.380     -0.017    -0.041     -5.857     -0.021
  7.500     30.802      0.462     -0.243     -0.019    -0.056     -5.889     -0.598
