# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.159     -0.040     -0.503     -0.006     0.014     -2.834     -2.555
  0.250      9.628     -0.047     -0.354     -0.014    -0.004      1.564      0.919
  0.500      9.320     -0.034     -0.347     -0.015    -0.006      0.844      0.556
  0.750      9.252     -0.034     -0.321     -0.015    -0.011      0.218     -0.420
  1.000      9.181     -0.036     -0.311     -0.014    -0.013      0.354     -0.477
  1.250      8.967     -0.035     -0.296     -0.014    -0.011      0.491     -0.212
  1.500      8.775     -0.037     -0.291     -0.012    -0.010      0.614     -0.260
  1.750      8.527     -0.041     -0.281     -0.010    -0.008      0.699     -0.263
  2.000      8.220     -0.052     -0.272     -0.008    -0.008      0.810     -0.048
  2.250      7.842     -0.068     -0.281     -0.004    -0.006      0.748      0.283
  2.500      7.570     -0.073     -0.298     -0.001    -0.005      0.551      0.469
  2.750      7.434     -0.076     -0.318     -0.001    -0.004      0.315      0.648
  3.000      7.355     -0.069     -0.343     -0.004    -0.001     -0.050      0.986
  3.250      7.576     -0.050     -0.347     -0.006    -0.002     -0.558      0.885
  3.500      7.830     -0.013     -0.341     -0.007    -0.002     -1.147      1.039
  3.750      8.067      0.072     -0.370      0.000    -0.004     -2.176      1.735
  4.000      8.686      0.152     -0.402      0.006    -0.005     -3.269      2.109
  4.250      9.554      0.245     -0.420      0.011    -0.004     -4.593      2.538
  4.500     10.445      0.367     -0.413      0.021    -0.005     -5.318      3.736
  4.750     12.294      0.419     -0.455      0.017    -0.010     -6.298      2.904
  5.000     14.342      0.469     -0.485      0.012    -0.011     -7.243      1.881
  5.250     16.533      0.503     -0.499      0.007    -0.011     -7.797      0.779
  5.500     18.770      0.532     -0.514      0.003    -0.010     -7.947     -0.202
  5.750     20.910      0.568     -0.514      0.002    -0.012     -7.821     -0.960
  6.000     22.803      0.589     -0.515      0.004    -0.014     -7.448     -1.142
  6.250     24.478      0.617     -0.519      0.007    -0.014     -6.972     -0.897
  6.500     26.100      0.621     -0.510      0.007    -0.014     -6.627     -0.563
  6.750     27.577      0.616     -0.481      0.008    -0.016     -6.366      0.095
  7.000     29.215      0.585     -0.388      0.011    -0.027     -6.125      0.195
  7.250     30.844      0.581     -0.347      0.010    -0.030     -6.171      0.068
  7.500     32.562      0.566     -0.303      0.010    -0.035     -6.223     -0.506
  7.750     34.142      0.557     -0.291      0.010    -0.035     -5.711     -1.124
  8.000     35.416      0.533     -0.273      0.013    -0.034     -4.497     -2.156
  8.250     35.997      0.516     -0.240      0.010    -0.032     -1.222     -4.386
  8.500     36.303      0.503     -0.220      0.013    -0.030     -0.156     -3.607
