# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.762     -0.012     -0.468     -0.006     0.016     -2.186     -2.037
  1.250      7.403     -0.018     -0.229     -0.014    -0.010      0.480     -0.235
  2.500      6.022     -0.047     -0.231     -0.001    -0.005      0.501      0.525
  3.750      6.546      0.081     -0.309     -0.001    -0.005     -1.924      1.594
  5.000     12.673      0.411     -0.413      0.004    -0.023     -6.681      1.985
  6.250     22.630      0.535     -0.440     -0.011    -0.032     -6.486     -0.726
  7.500     30.717      0.444     -0.215     -0.017    -0.057     -5.983     -0.581
