# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.761     -0.021     -0.529     -0.017     0.012     -4.493     -3.519
  0.250      8.621     -0.017     -0.430     -0.023    -0.002      0.900      0.544
  0.500      8.462     -0.009     -0.423     -0.025    -0.004      0.234     -0.011
  0.750      8.469     -0.027     -0.384     -0.023    -0.012     -0.040     -0.729
  1.000      8.357     -0.047     -0.365     -0.018    -0.016      0.269     -0.495
  1.250      8.147     -0.052     -0.354     -0.016    -0.014      0.451     -0.265
  1.500      7.956     -0.056     -0.345     -0.014    -0.013      0.611     -0.317
  1.750      7.712     -0.059     -0.337     -0.011    -0.012      0.765     -0.305
  2.000      7.377     -0.071     -0.331     -0.008    -0.010      0.812     -0.007
  2.250      6.987     -0.082     -0.343     -0.003    -0.008      0.742      0.287
  2.500      6.775     -0.090     -0.357     -0.003    -0.006      0.556      0.388
  2.750      6.636     -0.090     -0.377     -0.003    -0.005      0.309      0.609
  3.000      6.614     -0.087     -0.397     -0.005    -0.005     -0.077      0.913
  3.250      6.773     -0.065     -0.391     -0.009    -0.005     -0.668      1.069
  3.500      7.102     -0.028     -0.383     -0.010    -0.006     -1.226      1.049
  3.750      7.506      0.020     -0.398     -0.008    -0.008     -2.026      1.394
  4.000      7.799      0.130     -0.426      0.007    -0.006     -3.435      2.253
  4.250      8.635      0.227     -0.433      0.016    -0.004     -4.598      2.565
  4.500      9.676      0.323     -0.419      0.023    -0.004     -5.526      3.224
  4.750     11.404      0.380     -0.464      0.018    -0.004     -6.376      2.712
  5.000     13.504      0.431     -0.476      0.013    -0.010     -7.152      1.666
  5.250     15.704      0.474     -0.497      0.005    -0.011     -7.673      0.654
  5.500     18.008      0.526     -0.516     -0.005    -0.012     -7.817     -0.363
  5.750     20.132      0.560     -0.522     -0.008    -0.013     -7.635     -1.072
  6.000     21.933      0.580     -0.516     -0.004    -0.014     -7.268     -1.088
  6.250     23.576      0.603     -0.517      0.000    -0.015     -6.785     -0.919
  6.500     25.072      0.617     -0.517      0.003    -0.015     -6.444     -0.420
  6.750     26.597      0.600     -0.469      0.003    -0.018     -6.195      0.028
  7.000     28.172      0.574     -0.393      0.004    -0.028     -6.048      0.237
  7.250     29.811      0.571     -0.349      0.002    -0.032     -6.074      0.071
  7.500     31.474      0.562     -0.313      0.001    -0.036     -6.078     -0.373
  7.750     32.994      0.556     -0.304      0.001    -0.036     -5.777     -0.633
  8.000     34.376      0.547     -0.297      0.000    -0.036     -4.754     -1.679
  8.250     35.171      0.534     -0.267     -0.003    -0.034     -2.404     -3.175
  8.500     35.565      0.529     -0.241     -0.007    -0.032     -0.728     -3.288
