# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.181     -0.021     -0.568     -0.017     0.014     -4.474     -3.501
  1.000      9.791     -0.047     -0.401     -0.017    -0.015      0.246     -0.553
  2.000      8.777     -0.075     -0.367     -0.007    -0.010      0.883     -0.011
  3.000      7.936     -0.091     -0.444     -0.003    -0.004     -0.069      0.978
  4.000      9.101      0.142     -0.477      0.012    -0.001     -3.681      2.401
  5.000     15.001      0.464     -0.538      0.023     0.000     -7.590      1.604
  6.000     23.541      0.607     -0.560      0.013     0.006     -7.659     -1.051
  7.000     29.876      0.630     -0.451      0.031    -0.004     -6.379      0.292
