# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.723     -0.039     -0.473     -0.006     0.012     -2.636     -2.433
  0.500      7.821     -0.037     -0.310     -0.014    -0.007      0.886      0.544
  1.000      7.650     -0.037     -0.278     -0.014    -0.014      0.406     -0.394
  1.500      7.245     -0.036     -0.258     -0.013    -0.011      0.588     -0.190
  2.000      6.730     -0.048     -0.239     -0.009    -0.009      0.746     -0.050
  2.500      6.122     -0.067     -0.262     -0.003    -0.006      0.501      0.445
  3.000      5.939     -0.063     -0.304     -0.005    -0.002     -0.052      0.910
  3.500      6.429     -0.013     -0.302     -0.009    -0.005     -1.055      0.913
  4.000      7.291      0.135     -0.355      0.002    -0.008     -3.010      1.947
  4.500      9.001      0.322     -0.361      0.013    -0.010     -4.940      3.581
  5.000     12.802      0.417     -0.421      0.003    -0.021     -6.743      1.806
  5.500     17.073      0.478     -0.443     -0.008    -0.024     -7.438     -0.114
  6.000     21.083      0.537     -0.455     -0.012    -0.030     -6.964     -1.164
  6.500     24.298      0.557     -0.449     -0.015    -0.032     -6.181     -0.446
  7.000     27.389      0.515     -0.327     -0.015    -0.047     -5.768      0.158
  7.500     30.620      0.491     -0.248     -0.017    -0.056     -5.859     -0.495
  8.000     33.391      0.458     -0.228     -0.016    -0.056     -4.454     -1.681
