# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.973     -0.019     -0.506     -0.016     0.012     -4.396     -3.475
  0.750      7.636     -0.028     -0.360     -0.022    -0.013      0.049     -0.646
  1.500      7.112     -0.053     -0.323     -0.014    -0.013      0.604     -0.264
  2.250      6.191     -0.078     -0.322     -0.004    -0.008      0.711      0.265
  3.000      5.844     -0.083     -0.375     -0.006    -0.005     -0.078      0.885
  3.750      6.748      0.019     -0.371     -0.009    -0.009     -1.946      1.320
  4.500      8.900      0.302     -0.384      0.018    -0.007     -5.311      3.127
  5.250     14.818      0.454     -0.455     -0.001    -0.018     -7.373      0.709
  6.000     21.007      0.560     -0.480     -0.015    -0.025     -7.016     -1.128
  6.750     25.614      0.568     -0.432     -0.013    -0.031     -5.967      0.031
  7.500     30.421      0.521     -0.272     -0.017    -0.051     -5.820     -0.400
