# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.313     -0.022     -0.563     -0.018     0.014     -4.452     -3.482
  0.250     10.194     -0.015     -0.469     -0.024     0.000      1.085      0.754
  0.500      9.993     -0.007     -0.461     -0.026    -0.002      0.195      0.006
  0.750     10.014     -0.026     -0.420     -0.023    -0.011     -0.114     -0.788
  1.000      9.911     -0.048     -0.400     -0.018    -0.015      0.220     -0.561
  1.250      9.707     -0.055     -0.388     -0.016    -0.013      0.436     -0.333
  1.500      9.514     -0.060     -0.379     -0.013    -0.011      0.625     -0.375
  1.750      9.259     -0.065     -0.371     -0.011    -0.011      0.798     -0.341
  2.000      8.908     -0.079     -0.364     -0.008    -0.009      0.857      0.001
  2.250      8.503     -0.093     -0.376     -0.003    -0.006      0.776      0.320
  2.500      8.284     -0.103     -0.390     -0.002    -0.005      0.579      0.423
  2.750      8.142     -0.103     -0.410     -0.003    -0.004      0.314      0.642
  3.000      8.115     -0.099     -0.432     -0.005    -0.004     -0.091      0.952
  3.250      8.262     -0.076     -0.424     -0.008    -0.003     -0.716      1.147
  3.500      8.584     -0.037     -0.416     -0.009    -0.003     -1.315      1.156
  3.750      8.992      0.015     -0.433     -0.006    -0.005     -2.171      1.511
  4.000      9.265      0.137     -0.467      0.011    -0.001     -3.681      2.409
  4.250     10.123      0.248     -0.478      0.022     0.001     -4.915      2.695
  4.500     11.190      0.357     -0.464      0.032     0.003     -5.893      3.356
  4.750     12.983      0.416     -0.514      0.028     0.004     -6.768      2.748
  5.000     15.149      0.466     -0.531      0.023    -0.001     -7.582      1.621
  5.250     17.388      0.508     -0.551      0.018     0.000     -8.140      0.599
  5.500     19.722      0.556     -0.572      0.009     0.003     -8.254     -0.403
  5.750     21.882      0.589     -0.571      0.007     0.005     -8.005     -1.076
  6.000     23.697      0.614     -0.564      0.013     0.005     -7.665     -1.061
  6.250     25.385      0.644     -0.565      0.021     0.004     -7.171     -0.990
  6.500     26.919      0.663     -0.567      0.026     0.005     -6.779     -0.543
  6.750     28.436      0.650     -0.520      0.029     0.003     -6.520      0.022
  7.000     30.027      0.629     -0.445      0.032    -0.005     -6.379      0.283
  7.250     31.695      0.627     -0.401      0.030    -0.009     -6.411      0.142
  7.500     33.422      0.622     -0.363      0.030    -0.012     -6.440     -0.329
  7.750     35.010      0.619     -0.351      0.030    -0.011     -6.099     -0.729
  8.000     36.409      0.613     -0.336      0.030    -0.010     -4.846     -2.014
  8.250     37.147      0.591     -0.301      0.029    -0.006     -2.358     -3.497
  8.500     37.557      0.582     -0.268      0.027    -0.003     -0.801     -3.404
