# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.346     -0.022     -0.543     -0.017     0.013     -4.476     -3.504
  0.250      9.215     -0.016     -0.446     -0.023    -0.001      0.975      0.630
  0.500      9.039     -0.008     -0.439     -0.026    -0.003      0.218     -0.004
  0.750      9.051     -0.027     -0.399     -0.023    -0.012     -0.070     -0.753
  1.000      8.943     -0.047     -0.380     -0.018    -0.016      0.249     -0.522
  1.250      8.736     -0.053     -0.368     -0.016    -0.013      0.445     -0.293
  1.500      8.544     -0.058     -0.359     -0.014    -0.012      0.617     -0.341
  1.750      8.295     -0.061     -0.351     -0.011    -0.011      0.778     -0.319
  2.000      7.954     -0.074     -0.345     -0.008    -0.010      0.831     -0.003
  2.250      7.558     -0.086     -0.357     -0.003    -0.007      0.756      0.300
  2.500      7.343     -0.095     -0.371     -0.002    -0.006      0.565      0.402
  2.750      7.203     -0.095     -0.391     -0.003    -0.004      0.311      0.622
  3.000      7.179     -0.092     -0.411     -0.005    -0.004     -0.083      0.929
  3.250      7.333     -0.069     -0.404     -0.008    -0.004     -0.688      1.101
  3.500      7.660     -0.032     -0.397     -0.009    -0.005     -1.263      1.093
  3.750      8.065      0.018     -0.412     -0.007    -0.007     -2.086      1.442
  4.000      8.350      0.133     -0.443      0.009    -0.004     -3.536      2.317
  4.250      9.196      0.236     -0.451      0.018    -0.002     -4.728      2.619
  4.500     10.247      0.337     -0.438      0.027    -0.001     -5.677      3.279
  4.750     12.002      0.395     -0.484      0.022    -0.001     -6.538      2.728
  5.000     14.129      0.446     -0.499      0.017    -0.006     -7.329      1.648
  5.250     16.345      0.488     -0.519      0.010    -0.007     -7.865      0.631
  5.500     18.662      0.539     -0.538      0.001    -0.006     -7.997     -0.380
  5.750     20.800      0.572     -0.542     -0.002    -0.006     -7.787     -1.073
  6.000     22.607      0.594     -0.536      0.003    -0.007     -7.432     -1.077
  6.250     24.269      0.620     -0.536      0.008    -0.007     -6.944     -0.948
  6.500     25.781      0.636     -0.537      0.012    -0.007     -6.582     -0.471
  6.750     27.303      0.621     -0.490      0.013    -0.010     -6.329      0.026
  7.000     28.884      0.597     -0.414      0.015    -0.019     -6.184      0.255
  7.250     30.535      0.594     -0.370      0.013    -0.023     -6.212      0.100
  7.500     32.224      0.587     -0.333      0.012    -0.026     -6.226     -0.356
  7.750     33.772      0.582     -0.323      0.013    -0.026     -5.908     -0.674
  8.000     35.160      0.574     -0.313      0.012    -0.026     -4.790     -1.818
  8.250     35.931      0.557     -0.281      0.010    -0.023     -2.384     -3.308
  8.500     36.331      0.551     -0.252      0.007    -0.020     -0.752     -3.339
