# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.033     -0.017     -0.474     -0.016     0.009     -4.541     -3.567
  0.250      6.857     -0.017     -0.369     -0.022    -0.006      0.624      0.232
  0.500      6.762     -0.010     -0.362     -0.025    -0.007      0.297     -0.032
  0.750      6.744     -0.026     -0.329     -0.022    -0.014      0.077     -0.629
  1.000      6.617     -0.042     -0.312     -0.018    -0.018      0.343     -0.388
  1.250      6.399     -0.044     -0.301     -0.017    -0.015      0.470     -0.163
  1.500      6.213     -0.047     -0.293     -0.015    -0.014      0.586     -0.232
  1.750      5.984     -0.048     -0.286     -0.012    -0.014      0.713     -0.257
  2.000      5.674     -0.058     -0.281     -0.009    -0.012      0.744     -0.021
  2.250      5.303     -0.065     -0.293     -0.004    -0.009      0.689      0.239
  2.500      5.101     -0.071     -0.307     -0.004    -0.008      0.522      0.337
  2.750      4.968     -0.071     -0.326     -0.004    -0.007      0.300      0.559
  3.000      4.949     -0.068     -0.345     -0.007    -0.007     -0.051      0.850
  3.250      5.127     -0.049     -0.340     -0.010    -0.008     -0.587      0.943
  3.500      5.461     -0.016     -0.332     -0.011    -0.010     -1.083      0.883
  3.750      5.855      0.027     -0.345     -0.010    -0.012     -1.799      1.215
  4.000      6.179      0.117     -0.365      0.001    -0.012     -3.048      2.010
  4.250      6.980      0.195     -0.366      0.007    -0.012     -4.103      2.359
  4.500      7.981      0.271     -0.353      0.011    -0.013     -4.954      3.006
  4.750      9.608      0.324     -0.389      0.005    -0.015     -5.761      2.636
  5.000     11.602      0.377     -0.396     -0.003    -0.023     -6.475      1.727
  5.250     13.737      0.420     -0.416     -0.012    -0.028     -6.936      0.737
  5.500     15.990      0.476     -0.432     -0.024    -0.033     -7.127     -0.300
  5.750     18.056      0.512     -0.449     -0.028    -0.039     -7.052     -1.066
  6.000     19.836      0.524     -0.445     -0.030    -0.041     -6.636     -1.129
  6.250     21.408      0.537     -0.444     -0.030    -0.043     -6.166     -0.803
  6.500     22.845      0.543     -0.442     -0.031    -0.044     -5.910     -0.224
  6.750     24.378      0.522     -0.394     -0.034    -0.049     -5.683      0.045
  7.000     25.927      0.490     -0.315     -0.035    -0.060     -5.530      0.177
  7.250     27.521      0.484     -0.275     -0.039    -0.066     -5.551     -0.030
  7.500     29.086      0.471     -0.240     -0.041    -0.071     -5.521     -0.425
  7.750     30.502      0.461     -0.237     -0.042    -0.072     -5.291     -0.459
  8.000     31.869      0.444     -0.240     -0.042    -0.075     -4.645     -1.131
  8.250     32.759      0.446     -0.221     -0.049    -0.075     -2.515     -2.661
  8.500     33.131      0.446     -0.202     -0.055    -0.074     -0.638     -3.111
