# DCB sat:
G 1      -9.447
G 3      13.149
G 4       0.023
G 6      17.177
G 7     -15.193
G 8      14.436
G 9      14.792
G11      -7.520
G14      -5.710
G15     -15.691
G17     -19.725
G21     -13.531
G25      10.925
G26      18.012
G27      12.454
G28     -11.160
G30       9.723
G31     -18.034
G32       5.319
R 2       7.413
R 3     -10.165
R 4     -11.047
R 5       2.637
R 6       8.665
R 7      -9.484
R 8     -17.883
R 9      -2.766
R12       9.806
R14      13.120
R15       7.159
R16       7.381
R17      -0.877
R18      15.394
R19     -15.348
R20      -7.181
R21      -2.570
R22       1.461
R24       4.283
# DCB rec:
G     -58.112
R     -27.022
