# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      4.494     -0.012     -0.447     -0.016     0.008     -4.488     -3.549
  0.500      6.209     -0.008     -0.333     -0.024    -0.009      0.355     -0.025
  1.000      6.035     -0.038     -0.285     -0.018    -0.019      0.391     -0.327
  1.500      5.626     -0.042     -0.268     -0.015    -0.015      0.581     -0.186
  2.000      5.107     -0.052     -0.257     -0.010    -0.013      0.713     -0.025
  2.500      4.549     -0.064     -0.282     -0.004    -0.009      0.505      0.316
  3.000      4.400     -0.061     -0.319     -0.007    -0.008     -0.037      0.812
  3.500      4.918     -0.012     -0.308     -0.012    -0.012     -1.003      0.798
  4.000      5.640      0.110     -0.337     -0.001    -0.015     -2.853      1.891
  4.500      7.398      0.248     -0.323      0.006    -0.017     -4.674      2.910
  5.000     10.919      0.352     -0.360     -0.009    -0.029     -6.154      1.758
  5.500     15.251      0.452     -0.395     -0.033    -0.042     -6.800     -0.276
  6.000     19.056      0.496     -0.413     -0.041    -0.053     -6.331     -1.145
  6.500     22.001      0.507     -0.409     -0.045    -0.057     -5.658     -0.120
  7.000     25.077      0.450     -0.280     -0.051    -0.074     -5.296      0.162
  7.500     28.177      0.427     -0.207     -0.058    -0.086     -5.279     -0.444
  8.000     30.915      0.394     -0.215     -0.060    -0.092     -4.606     -0.890
