# DCB sat:
G 1     -10.079
G 3      12.849
G 4      -0.112
G 6      17.393
G 7     -15.582
G 8      14.321
G 9      15.045
G11      -6.960
G14      -6.165
G15     -14.492
G17     -21.311
G21     -13.564
G25      11.458
G26      18.116
G27      12.246
G28     -10.956
G30       9.310
G31     -18.088
G32       6.572
R 2       7.817
R 3     -10.357
R 4     -11.216
R 5       2.440
R 6       8.436
R 7      -9.530
R 8     -16.849
R 9      -2.977
R12      10.107
R14      12.906
R15       6.913
R16       6.893
R17      -0.751
R18      15.245
R19     -15.678
R20      -7.121
R21      -1.744
R22       1.366
R24       4.102
# DCB rec:
G     -58.908
R     -27.748
