# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.146     -0.033     -0.410     -0.006     0.009     -2.290     -2.200
  0.500      6.118     -0.034     -0.247     -0.015    -0.010      0.913      0.523
  1.000      5.910     -0.032     -0.222     -0.015    -0.015      0.452     -0.271
  1.500      5.516     -0.029     -0.205     -0.013    -0.012      0.538     -0.115
  2.000      5.052     -0.037     -0.189     -0.010    -0.010      0.657     -0.073
  2.500      4.484     -0.050     -0.211     -0.004    -0.007      0.453      0.402
  3.000      4.328     -0.049     -0.249     -0.006    -0.004     -0.025      0.797
  3.500      4.819     -0.006     -0.246     -0.010    -0.008     -0.888      0.734
  4.000      5.688      0.114     -0.289     -0.004    -0.013     -2.574      1.681
  4.500      7.316      0.257     -0.289      0.002    -0.018     -4.322      3.325
  5.000     10.957      0.339     -0.331     -0.011    -0.033     -5.936      1.664
  5.500     14.959      0.397     -0.342     -0.023    -0.042     -6.616      0.029
  6.000     18.918      0.455     -0.365     -0.036    -0.052     -6.166     -1.181
  6.500     21.999      0.461     -0.362     -0.047    -0.057     -5.442     -0.270
  7.000     25.040      0.412     -0.242     -0.051    -0.075     -5.177      0.101
  7.500     28.078      0.380     -0.171     -0.055    -0.085     -5.267     -0.460
  8.000     30.713      0.349     -0.166     -0.057    -0.088     -4.380     -0.908
