# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.878     -0.030     -0.415     -0.005     0.010     -2.077     -1.953
  0.250      7.110     -0.044     -0.249     -0.013    -0.008      1.413      0.732
  0.500      6.817     -0.034     -0.218     -0.014    -0.012      0.733      0.373
  0.750      6.695     -0.030     -0.215     -0.014    -0.012      0.422     -0.043
  1.000      6.625     -0.027     -0.211     -0.014    -0.013      0.426     -0.259
  1.250      6.449     -0.025     -0.198     -0.014    -0.012      0.458     -0.171
  1.500      6.273     -0.024     -0.194     -0.013    -0.011      0.538     -0.212
  1.750      6.046     -0.026     -0.184     -0.011    -0.010      0.581     -0.248
  2.000      5.782     -0.033     -0.178     -0.009    -0.009      0.687     -0.085
  2.250      5.440     -0.047     -0.183     -0.007    -0.008      0.641      0.281
  2.500      5.172     -0.048     -0.199     -0.004    -0.007      0.449      0.502
  2.750      5.036     -0.052     -0.213     -0.004    -0.006      0.205      0.703
  3.000      5.054     -0.045     -0.239     -0.006    -0.004     -0.037      0.745
  3.250      5.282     -0.031     -0.248     -0.008    -0.005     -0.446      0.538
  3.500      5.560     -0.004     -0.247     -0.009    -0.007     -0.925      0.636
  3.750      5.754      0.068     -0.271     -0.004    -0.008     -1.765      1.434
  4.000      6.368      0.125     -0.294     -0.003    -0.010     -2.674      1.860
  4.250      7.230      0.190     -0.313      0.000    -0.013     -3.739      2.329
  4.500      8.274      0.251     -0.326      0.000    -0.016     -4.760      3.076
  4.750      9.947      0.330     -0.336      0.000    -0.027     -5.194      2.512
  5.000     11.738      0.360     -0.355     -0.005    -0.031     -6.198      1.872
  5.250     13.808      0.400     -0.356     -0.012    -0.033     -6.728      0.869
  5.500     15.856      0.415     -0.365     -0.015    -0.036     -6.944      0.038
  5.750     18.003      0.452     -0.368     -0.024    -0.038     -6.724     -0.863
  6.000     19.897      0.476     -0.384     -0.027    -0.043     -6.432     -1.207
  6.250     21.423      0.485     -0.387     -0.028    -0.045     -5.965     -0.648
  6.500     23.042      0.479     -0.379     -0.035    -0.048     -5.697     -0.324
  6.750     24.579      0.454     -0.324     -0.036    -0.055     -5.459      0.000
  7.000     26.118      0.434     -0.265     -0.038    -0.063     -5.423      0.108
  7.250     27.638      0.425     -0.235     -0.040    -0.066     -5.468     -0.006
  7.500     29.250      0.402     -0.196     -0.040    -0.072     -5.518     -0.596
  7.750     30.712      0.388     -0.190     -0.042    -0.073     -4.944     -1.191
  8.000     31.872      0.368     -0.184     -0.041    -0.073     -3.955     -1.754
  8.250     32.671      0.323     -0.194     -0.037    -0.077     -1.800     -3.277
  8.500     33.485      0.343     -0.175     -0.046    -0.077     -1.764     -1.974
