# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.044     -0.016     -0.474     -0.015     0.010     -4.416     -3.500
  0.750      6.705     -0.026     -0.327     -0.021    -0.014      0.121     -0.586
  1.500      6.168     -0.048     -0.293     -0.014    -0.014      0.591     -0.215
  2.250      5.278     -0.067     -0.293     -0.004    -0.009      0.683      0.238
  3.000      4.938     -0.071     -0.344     -0.007    -0.006     -0.059      0.847
  3.750      5.846      0.024     -0.341     -0.010    -0.011     -1.809      1.216
  4.500      7.971      0.272     -0.347      0.011    -0.012     -4.970      2.998
  5.250     13.727      0.422     -0.410     -0.012    -0.028     -6.937      0.755
  6.000     19.835      0.526     -0.440     -0.029    -0.041     -6.641     -1.147
  6.750     24.372      0.522     -0.390     -0.034    -0.048     -5.669      0.045
  7.500     29.083      0.468     -0.231     -0.040    -0.071     -5.496     -0.433
