# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.221     -0.023     -0.393     -0.006     0.010     -2.008     -1.948
  0.750      5.989     -0.026     -0.191     -0.014    -0.013      0.496      0.033
  1.500      5.557     -0.020     -0.172     -0.013    -0.012      0.522     -0.167
  2.250      4.766     -0.041     -0.161     -0.007    -0.008      0.597      0.272
  3.000      4.410     -0.040     -0.211     -0.007    -0.005     -0.049      0.688
  3.750      5.107      0.061     -0.238     -0.006    -0.009     -1.637      1.325
  4.500      7.565      0.220     -0.285     -0.004    -0.017     -4.477      2.971
  5.250     12.984      0.356     -0.307     -0.018    -0.038     -6.294      0.852
  6.000     18.959      0.429     -0.342     -0.037    -0.052     -6.040     -1.178
  6.750     23.571      0.400     -0.285     -0.050    -0.066     -5.164      0.034
  7.500     28.169      0.347     -0.165     -0.056    -0.084     -5.235     -0.638
