# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.357     -0.019     -0.563     -0.017     0.014     -4.384     -3.446
  0.500     10.016     -0.004     -0.460     -0.026    -0.002      0.227      0.020
  1.000      9.923     -0.046     -0.399     -0.018    -0.015      0.237     -0.551
  1.500      9.521     -0.059     -0.378     -0.013    -0.011      0.635     -0.368
  2.000      8.916     -0.078     -0.363     -0.008    -0.009      0.860      0.004
  2.500      8.291     -0.102     -0.389     -0.002    -0.005      0.582      0.422
  3.000      8.119     -0.099     -0.431     -0.005    -0.004     -0.086      0.948
  3.500      8.582     -0.036     -0.415     -0.009    -0.003     -1.305      1.154
  4.000      9.258      0.138     -0.467      0.011    -0.001     -3.670      2.406
  4.500     11.176      0.357     -0.464      0.032     0.003     -5.881      3.361
  5.000     15.132      0.467     -0.531      0.023    -0.001     -7.575      1.626
  5.500     19.704      0.557     -0.572      0.009     0.004     -8.250     -0.403
  6.000     23.677      0.615     -0.565      0.013     0.005     -7.664     -1.059
  6.500     26.899      0.664     -0.568      0.026     0.005     -6.778     -0.543
  7.000     30.005      0.630     -0.447      0.032    -0.005     -6.380      0.284
  7.500     33.400      0.623     -0.365      0.030    -0.012     -6.442     -0.327
  8.000     36.386      0.615     -0.338      0.030    -0.010     -4.848     -2.014
