# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      4.192     -0.048     -0.433      0.002     0.017     -2.166     -2.151
  1.000      4.908     -0.044     -0.204     -0.009    -0.009      0.530     -0.104
  2.000      4.125     -0.034     -0.165     -0.005    -0.005      0.628     -0.102
  3.000      3.461     -0.037     -0.222     -0.001     0.000     -0.047      0.661
  4.000      4.764      0.111     -0.271     -0.001    -0.007     -2.425      1.756
  5.000     10.007      0.313     -0.331     -0.007    -0.029     -5.645      1.634
  6.000     17.826      0.434     -0.388     -0.034    -0.049     -5.900     -1.086
  7.000     23.871      0.464     -0.328     -0.050    -0.070     -4.930     -0.303
