# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.916     -0.033     -0.450     -0.005     0.012     -2.195     -2.018
  0.250      8.207     -0.046     -0.283     -0.013    -0.006      1.454      0.791
  0.500      7.907     -0.035     -0.250     -0.014    -0.010      0.684      0.340
  0.750      7.797     -0.032     -0.246     -0.014    -0.011      0.372     -0.108
  1.000      7.738     -0.029     -0.240     -0.014    -0.013      0.405     -0.333
  1.250      7.561     -0.027     -0.227     -0.014    -0.011      0.469     -0.227
  1.500      7.377     -0.027     -0.222     -0.013    -0.010      0.570     -0.254
  1.750      7.135     -0.029     -0.212     -0.011    -0.009      0.627     -0.268
  2.000      6.853     -0.038     -0.204     -0.009    -0.008      0.743     -0.076
  2.250      6.495     -0.054     -0.209     -0.006    -0.007      0.692      0.302
  2.500      6.211     -0.055     -0.227     -0.003    -0.006      0.482      0.527
  2.750      6.066     -0.060     -0.241     -0.003    -0.005      0.222      0.742
  3.000      6.073     -0.051     -0.270     -0.005    -0.003     -0.045      0.815
  3.250      6.301     -0.036     -0.280     -0.007    -0.003     -0.489      0.626
  3.500      6.580     -0.006     -0.279     -0.008    -0.005     -1.014      0.737
  3.750      6.756      0.075     -0.306     -0.002    -0.006     -1.937      1.587
  4.000      7.390      0.139     -0.332      0.000    -0.008     -2.918      2.001
  4.250      8.273      0.216     -0.356      0.004    -0.010     -4.075      2.461
  4.500      9.363      0.286     -0.371      0.006    -0.012     -5.132      3.169
  4.750     11.036      0.375     -0.383      0.006    -0.022     -5.636      2.691
  5.000     12.896      0.409     -0.408      0.002    -0.024     -6.659      1.961
  5.250     15.042      0.448     -0.414     -0.004    -0.025     -7.213      0.860
  5.500     17.171      0.465     -0.425     -0.007    -0.027     -7.410     -0.040
  5.750     19.326      0.503     -0.427     -0.013    -0.028     -7.238     -0.900
  6.000     21.251      0.526     -0.438     -0.014    -0.032     -6.897     -1.221
  6.250     22.829      0.540     -0.441     -0.014    -0.033     -6.445     -0.729
  6.500     24.471      0.536     -0.431     -0.018    -0.035     -6.151     -0.427
  6.750     26.017      0.514     -0.377     -0.018    -0.041     -5.840     -0.026
  7.000     27.575      0.495     -0.316     -0.018    -0.048     -5.763      0.136
  7.250     29.138      0.487     -0.281     -0.020    -0.051     -5.819      0.030
  7.500     30.808      0.466     -0.240     -0.020    -0.056     -5.878     -0.578
  7.750     32.337      0.454     -0.232     -0.021    -0.057     -5.288     -1.260
  8.000     33.535      0.432     -0.222     -0.019    -0.057     -4.116     -2.051
  8.250     34.238      0.392     -0.224     -0.015    -0.059     -1.598     -3.690
  8.500     34.931      0.412     -0.208     -0.021    -0.059     -1.373     -2.405
