# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.737     -0.037     -0.432     -0.006     0.010     -2.475     -2.315
  0.250      7.033     -0.046     -0.280     -0.014    -0.008      1.324      0.658
  0.500      6.775     -0.035     -0.273     -0.015    -0.009      0.883      0.527
  0.750      6.678     -0.034     -0.253     -0.015    -0.013      0.341     -0.268
  1.000      6.589     -0.034     -0.246     -0.014    -0.015      0.420     -0.328
  1.250      6.373     -0.031     -0.232     -0.014    -0.013      0.487     -0.086
  1.500      6.195     -0.031     -0.228     -0.013    -0.012      0.558     -0.159
  1.750      5.976     -0.032     -0.219     -0.011    -0.010      0.609     -0.218
  2.000      5.705     -0.040     -0.212     -0.009    -0.010      0.702     -0.073
  2.250      5.350     -0.051     -0.221     -0.005    -0.008      0.658      0.242
  2.500      5.110     -0.055     -0.236     -0.003    -0.007      0.488      0.414
  2.750      4.987     -0.057     -0.253     -0.003    -0.006      0.277      0.587
  3.000      4.933     -0.052     -0.276     -0.005    -0.004     -0.025      0.855
  3.250      5.160     -0.037     -0.280     -0.008    -0.005     -0.461      0.713
  3.500      5.422     -0.006     -0.274     -0.009    -0.007     -0.957      0.820
  3.750      5.697      0.062     -0.297     -0.004    -0.009     -1.827      1.416
  4.000      6.295      0.126     -0.321     -0.001    -0.011     -2.760      1.791
  4.250      7.120      0.194     -0.329      0.001    -0.013     -3.903      2.267
  4.500      7.958      0.287     -0.324      0.007    -0.015     -4.587      3.442
  4.750      9.701      0.329     -0.357      0.002    -0.022     -5.451      2.721
  5.000     11.660      0.374     -0.373     -0.005    -0.028     -6.298      1.745
  5.250     13.686      0.410     -0.378     -0.011    -0.031     -6.791      0.865
  5.500     15.784      0.434     -0.388     -0.016    -0.034     -6.988     -0.040
  5.750     17.906      0.472     -0.393     -0.024    -0.037     -6.819     -0.903
  6.000     19.760      0.492     -0.404     -0.026    -0.042     -6.523     -1.172
  6.250     21.324      0.507     -0.408     -0.027    -0.044     -6.037     -0.734
  6.500     22.903      0.504     -0.401     -0.033    -0.046     -5.771     -0.356
  6.750     24.353      0.493     -0.370     -0.035    -0.050     -5.624      0.160
  7.000     25.967      0.458     -0.280     -0.036    -0.062     -5.428      0.112
  7.250     27.505      0.451     -0.246     -0.038    -0.067     -5.469     -0.020
  7.500     29.083      0.430     -0.206     -0.039    -0.072     -5.505     -0.487
  7.750     30.537      0.418     -0.200     -0.041    -0.073     -5.071     -0.875
  8.000     31.769      0.399     -0.194     -0.040    -0.074     -4.412     -1.218
  8.250     32.591      0.390     -0.195     -0.045    -0.079     -1.574     -3.532
  8.500     33.007      0.382     -0.180     -0.047    -0.078     -0.515     -3.033
