# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      4.901     -0.083     -0.578      0.012     0.033     -2.680     -2.513
  1.000      5.885     -0.076     -0.312      0.001     0.002      0.485     -0.217
  2.000      5.046     -0.061     -0.258      0.006     0.005      0.749     -0.101
  3.000      4.269     -0.053     -0.332      0.010     0.012     -0.073      0.806
  4.000      5.573      0.152     -0.405      0.015     0.009     -3.075      2.199
  5.000     11.178      0.453     -0.518      0.018     0.000     -6.846      1.816
  6.000     19.451      0.595     -0.601      0.008    -0.009     -7.172     -1.060
  7.000     25.730      0.720     -0.573      0.014    -0.019     -5.771     -0.366
