# DCB sat:
G 1      -9.763
G 3      13.081
G 4       0.022
G 6      17.056
G 7     -15.510
G 8      14.535
G 9      14.502
G11      -7.837
G14      -6.095
G15     -14.751
G17     -18.979
G21     -13.327
G25      10.739
G26      17.928
G27      12.879
G28     -11.193
G30       9.319
G31     -18.049
G32       5.441
R 2       7.402
R 3     -10.165
R 4     -11.047
R 5       2.588
R 6       8.568
R 7      -9.584
R 8     -16.866
R 9      -2.953
R12       9.790
R14      13.128
R15       7.059
R16       6.898
R17      -0.159
R18      15.352
R19     -15.458
R20      -7.246
R21      -2.773
R22       0.462
R24       5.005
# DCB rec:
G     -60.039
R     -28.922
