# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.815     -0.033     -0.474     -0.005     0.013     -2.259     -2.050
  0.250      9.141     -0.046     -0.307     -0.013    -0.005      1.492      0.843
  0.500      8.834     -0.034     -0.273     -0.014    -0.009      0.649      0.320
  0.750      8.733     -0.032     -0.267     -0.014    -0.011      0.334     -0.152
  1.000      8.682     -0.029     -0.261     -0.014    -0.012      0.386     -0.385
  1.250      8.505     -0.027     -0.247     -0.014    -0.011      0.473     -0.269
  1.500      8.315     -0.028     -0.242     -0.012    -0.010      0.592     -0.287
  1.750      8.063     -0.031     -0.231     -0.011    -0.008      0.659     -0.284
  2.000      7.768     -0.041     -0.223     -0.009    -0.008      0.782     -0.070
  2.250      7.398     -0.058     -0.228     -0.006    -0.006      0.727      0.317
  2.500      7.103     -0.060     -0.247     -0.002    -0.005      0.506      0.546
  2.750      6.950     -0.065     -0.262     -0.002    -0.004      0.235      0.769
  3.000      6.950     -0.056     -0.292     -0.004    -0.002     -0.050      0.862
  3.250      7.175     -0.040     -0.302     -0.007    -0.002     -0.518      0.686
  3.500      7.453     -0.007     -0.302     -0.007    -0.004     -1.075      0.809
  3.750      7.616      0.080     -0.331      0.000    -0.004     -2.055      1.695
  4.000      8.264      0.149     -0.359      0.003    -0.006     -3.086      2.102
  4.250      9.159      0.234     -0.387      0.007    -0.007     -4.308      2.551
  4.500     10.281      0.312     -0.403      0.010    -0.009     -5.391      3.231
  4.750     11.956      0.407     -0.416      0.011    -0.018     -5.941      2.806
  5.000     13.864      0.443     -0.447      0.008    -0.019     -6.977      2.014
  5.250     16.062      0.482     -0.457      0.002    -0.019     -7.547      0.849
  5.500     18.245      0.501     -0.469     -0.001    -0.020     -7.730     -0.091
  5.750     20.404      0.538     -0.469     -0.005    -0.021     -7.588     -0.921
  6.000     22.352      0.562     -0.478     -0.005    -0.024     -7.214     -1.227
  6.250     23.965      0.579     -0.479     -0.003    -0.024     -6.773     -0.786
  6.500     25.621      0.576     -0.468     -0.006    -0.025     -6.460     -0.499
  6.750     27.172      0.558     -0.416     -0.004    -0.030     -6.101     -0.042
  7.000     28.742      0.539     -0.353     -0.003    -0.037     -5.999      0.161
  7.250     30.334      0.532     -0.316     -0.005    -0.040     -6.064      0.062
  7.500     32.045      0.513     -0.273     -0.004    -0.044     -6.133     -0.561
  7.750     33.623      0.502     -0.263     -0.005    -0.044     -5.531     -1.309
  8.000     34.846      0.478     -0.250     -0.002    -0.044     -4.221     -2.273
  8.250     35.481      0.442     -0.246      0.001    -0.046     -1.446     -3.995
  8.500     36.094      0.460     -0.232     -0.002    -0.045     -1.113     -2.695
