# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.790     -0.031     -0.480     -0.005     0.014     -2.258     -2.051
  0.500      8.813     -0.034     -0.274     -0.014    -0.009      0.642      0.303
  1.000      8.656     -0.029     -0.262     -0.014    -0.012      0.390     -0.382
  1.500      8.288     -0.029     -0.242     -0.012    -0.009      0.590     -0.283
  2.000      7.741     -0.043     -0.222     -0.009    -0.007      0.775     -0.060
  2.500      7.087     -0.063     -0.245     -0.002    -0.005      0.491      0.552
  3.000      6.942     -0.058     -0.290     -0.004    -0.001     -0.071      0.861
  3.500      7.454     -0.010     -0.298     -0.008    -0.004     -1.094      0.807
  4.000      8.269      0.145     -0.356      0.002    -0.005     -3.111      2.115
  4.500     10.303      0.308     -0.399      0.010    -0.008     -5.420      3.223
  5.000     13.904      0.439     -0.445      0.007    -0.018     -6.981      1.988
  5.500     18.286      0.496     -0.468     -0.001    -0.020     -7.724     -0.095
  6.000     22.395      0.558     -0.479     -0.005    -0.024     -7.219     -1.223
  6.500     25.668      0.573     -0.469     -0.006    -0.025     -6.472     -0.489
  7.000     28.798      0.534     -0.353     -0.003    -0.037     -6.012      0.158
  7.500     32.104      0.508     -0.271     -0.004    -0.045     -6.154     -0.561
  8.000     34.910      0.472     -0.247     -0.002    -0.045     -4.218     -2.304
