# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.454     -0.031     -0.495     -0.005     0.015     -2.291     -2.066
  0.500      9.491     -0.033     -0.288     -0.014    -0.008      0.619      0.292
  1.000      9.346     -0.029     -0.275     -0.014    -0.011      0.376     -0.416
  1.500      8.974     -0.029     -0.255     -0.012    -0.009      0.602     -0.304
  2.000      8.412     -0.045     -0.234     -0.008    -0.007      0.799     -0.055
  2.500      7.744     -0.067     -0.258     -0.002    -0.004      0.505      0.565
  3.000      7.590     -0.062     -0.304     -0.004    -0.001     -0.074      0.890
  3.500      8.100     -0.012     -0.313     -0.007    -0.003     -1.133      0.853
  4.000      8.913      0.152     -0.373      0.004    -0.004     -3.218      2.179
  4.500     10.977      0.324     -0.420      0.012    -0.006     -5.585      3.262
  5.000     14.610      0.461     -0.470      0.011    -0.015     -7.183      2.018
  5.500     19.058      0.519     -0.497      0.003    -0.015     -7.927     -0.127
  6.000     23.184      0.580     -0.505      0.002    -0.019     -7.419     -1.226
  6.500     26.487      0.598     -0.494      0.003    -0.019     -6.667     -0.534
  7.000     29.627      0.562     -0.377      0.006    -0.030     -6.161      0.175
  7.500     32.978      0.537     -0.292      0.006    -0.037     -6.317     -0.549
  8.000     35.832      0.502     -0.265      0.009    -0.037     -4.282     -2.451
