# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      9.203     -0.041     -0.531     -0.006     0.015     -2.887     -2.599
  0.500     10.384     -0.035     -0.372     -0.015    -0.004      0.852      0.574
  1.000     10.253     -0.039     -0.333     -0.014    -0.012      0.346     -0.517
  1.500      9.841     -0.041     -0.311     -0.012    -0.009      0.632     -0.278
  2.000      9.271     -0.059     -0.290     -0.008    -0.007      0.834     -0.030
  2.500      8.619     -0.084     -0.314     -0.001    -0.004      0.551      0.494
  3.000      8.406     -0.079     -0.360     -0.004     0.001     -0.075      1.016
  3.500      8.880     -0.020     -0.357     -0.007    -0.001     -1.212      1.095
  4.000      9.724      0.156     -0.423      0.008    -0.002     -3.435      2.212
  4.500     11.515      0.390     -0.437      0.026    -0.001     -5.550      3.820
  5.000     15.480      0.496     -0.517      0.018    -0.006     -7.523      1.900
  5.500     19.994      0.559     -0.551      0.010    -0.003     -8.228     -0.244
  6.000     24.050      0.616     -0.549      0.014    -0.005     -7.721     -1.134
  6.500     27.390      0.655     -0.544      0.021    -0.004     -6.877     -0.621
  7.000     30.518      0.623     -0.422      0.026    -0.015     -6.342      0.235
  7.500     33.938      0.607     -0.333      0.026    -0.023     -6.460     -0.495
  8.000     36.854      0.574     -0.298      0.030    -0.021     -4.533     -2.453
