# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      9.194     -0.023     -0.521     -0.007     0.015     -2.852     -2.574
  0.750     10.290     -0.020     -0.337     -0.016    -0.009      0.189     -0.470
  1.500      9.803     -0.031     -0.307     -0.012    -0.009      0.630     -0.297
  2.250      8.848     -0.071     -0.297     -0.003    -0.005      0.768      0.298
  3.000      8.353     -0.074     -0.359     -0.003     0.001     -0.061      1.014
  3.750      9.028      0.075     -0.387      0.002    -0.002     -2.267      1.829
  4.500     11.413      0.396     -0.436      0.026    -0.001     -5.513      3.817
  5.250     17.585      0.535     -0.533      0.014    -0.004     -8.074      0.771
  6.000     23.906      0.622     -0.548      0.015    -0.003     -7.712     -1.136
  6.750     28.719      0.658     -0.517      0.023    -0.003     -6.559      0.071
  7.500     33.761      0.610     -0.330      0.026    -0.022     -6.404     -0.507
