# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.883     -0.025     -0.421     -0.005     0.011     -2.113     -2.011
  0.750      6.706     -0.027     -0.215     -0.014    -0.012      0.461     -0.017
  1.500      6.274     -0.022     -0.194     -0.013    -0.011      0.549     -0.198
  2.250      5.447     -0.047     -0.182     -0.007    -0.008      0.636      0.288
  3.000      5.063     -0.045     -0.236     -0.006    -0.003     -0.054      0.744
  3.750      5.753      0.067     -0.266     -0.004    -0.007     -1.775      1.446
  4.500      8.281      0.248     -0.320      0.000    -0.015     -4.776      3.053
  5.250     13.816      0.395     -0.353     -0.012    -0.032     -6.695      0.853
  6.000     19.893      0.470     -0.386     -0.027    -0.043     -6.426     -1.192
  6.750     24.579      0.448     -0.326     -0.036    -0.056     -5.478      0.008
  7.500     29.271      0.397     -0.198     -0.040    -0.072     -5.526     -0.624
