# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.850     -0.028     -0.421     -0.005     0.011     -2.083     -1.959
  0.500      6.795     -0.032     -0.219     -0.014    -0.011      0.727      0.355
  1.000      6.598     -0.026     -0.212     -0.014    -0.013      0.430     -0.256
  1.500      6.245     -0.024     -0.195     -0.013    -0.011      0.537     -0.208
  2.000      5.753     -0.034     -0.177     -0.009    -0.009      0.682     -0.077
  2.500      5.150     -0.049     -0.198     -0.004    -0.006      0.438      0.507
  3.000      5.039     -0.046     -0.237     -0.006    -0.003     -0.055      0.745
  3.500      5.550     -0.006     -0.244     -0.009    -0.007     -0.941      0.635
  4.000      6.360      0.122     -0.290     -0.003    -0.010     -2.695      1.873
  4.500      8.282      0.248     -0.323      0.000    -0.015     -4.786      3.066
  5.000     11.763      0.357     -0.353     -0.005    -0.030     -6.197      1.845
  5.500     15.880      0.411     -0.365     -0.015    -0.036     -6.933      0.037
  6.000     19.924      0.473     -0.385     -0.027    -0.044     -6.435     -1.202
  6.500     23.071      0.477     -0.380     -0.035    -0.048     -5.707     -0.313
  7.000     26.154      0.431     -0.265     -0.038    -0.063     -5.434      0.104
  7.500     29.287      0.398     -0.194     -0.040    -0.072     -5.539     -0.592
  8.000     31.913      0.364     -0.181     -0.041    -0.074     -3.957     -1.782
