# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.233     -0.022     -0.551     -0.016     0.014     -4.510     -3.532
  1.000      8.846     -0.047     -0.382     -0.017    -0.015      0.276     -0.515
  2.000      7.847     -0.071     -0.348     -0.008    -0.010      0.855     -0.013
  3.000      7.026     -0.084     -0.423     -0.004    -0.005     -0.062      0.955
  4.000      8.213      0.137     -0.452      0.009    -0.004     -3.537      2.308
  5.000     14.008      0.444     -0.505      0.016    -0.006     -7.339      1.633
  6.000     22.479      0.588     -0.532      0.002    -0.005     -7.426     -1.068
  7.000     28.759      0.597     -0.420      0.015    -0.018     -6.189      0.267
