# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.358     -0.022     -0.541     -0.016     0.013     -4.361     -3.438
  0.750      9.017     -0.028     -0.397     -0.022    -0.011     -0.033     -0.710
  1.500      8.508     -0.059     -0.358     -0.013    -0.011      0.618     -0.324
  2.250      7.548     -0.090     -0.356     -0.003    -0.007      0.743      0.299
  3.000      7.191     -0.097     -0.410     -0.006    -0.004     -0.098      0.927
  3.750      8.086      0.013     -0.407     -0.008    -0.006     -2.103      1.441
  4.500     10.268      0.337     -0.429      0.027     0.000     -5.703      3.270
  5.250     16.370      0.491     -0.509      0.011    -0.006     -7.870      0.653
  6.000     22.649      0.597     -0.528      0.003    -0.006     -7.439     -1.106
  6.750     27.335      0.621     -0.483      0.014    -0.009     -6.307      0.020
  7.500     32.253      0.583     -0.322      0.012    -0.027     -6.198     -0.353
