# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.621     -0.011     -0.493     -0.005     0.017     -2.245     -2.069
  1.250      8.302     -0.017     -0.249     -0.014    -0.009      0.486     -0.275
  2.500      6.868     -0.051     -0.251     -0.001    -0.005      0.525      0.543
  3.750      7.359      0.087     -0.334      0.001    -0.004     -2.041      1.703
  5.000     13.592      0.446     -0.451      0.009    -0.017     -6.997      2.038
  6.250     23.719      0.573     -0.478      0.000    -0.023     -6.813     -0.786
  7.500     31.911      0.489     -0.248     -0.002    -0.045     -6.233     -0.572
