# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.125     -0.010     -0.399     -0.006     0.011     -1.973     -1.905
  1.250      5.640     -0.015     -0.177     -0.014    -0.012      0.453     -0.142
  2.500      4.391     -0.036     -0.180     -0.004    -0.007      0.439      0.480
  3.750      4.980      0.067     -0.246     -0.005    -0.009     -1.613      1.313
  5.000     10.834      0.324     -0.318     -0.009    -0.035     -5.842      1.809
  6.250     20.328      0.437     -0.346     -0.037    -0.054     -5.607     -0.569
  7.500     28.127      0.332     -0.140     -0.054    -0.084     -5.354     -0.577
