# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.097     -0.014     -0.474     -0.016     0.009     -4.477     -3.535
  0.500      6.806     -0.008     -0.362     -0.025    -0.007      0.326     -0.017
  1.000      6.650     -0.041     -0.310     -0.018    -0.018      0.358     -0.378
  1.500      6.243     -0.046     -0.292     -0.015    -0.014      0.594     -0.224
  2.000      5.705     -0.058     -0.280     -0.010    -0.012      0.746     -0.017
  2.500      5.134     -0.072     -0.305     -0.004    -0.008      0.522      0.338
  3.000      4.981     -0.069     -0.343     -0.007    -0.007     -0.049      0.845
  3.500      5.490     -0.017     -0.332     -0.011    -0.010     -1.072      0.877
  4.000      6.203      0.117     -0.365      0.001    -0.012     -3.036      2.007
  4.500      7.997      0.271     -0.353      0.011    -0.013     -4.943      3.015
  5.000     11.616      0.377     -0.396     -0.002    -0.023     -6.474      1.734
  5.500     16.006      0.476     -0.433     -0.024    -0.033     -7.128     -0.304
  6.000     19.849      0.524     -0.446     -0.030    -0.041     -6.636     -1.127
  6.500     22.856      0.542     -0.443     -0.031    -0.044     -5.915     -0.216
  7.000     25.941      0.489     -0.315     -0.034    -0.060     -5.539      0.183
  7.500     29.106      0.470     -0.239     -0.040    -0.071     -5.535     -0.426
  8.000     31.893      0.442     -0.239     -0.042    -0.075     -4.643     -1.152
