# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.761     -0.037     -0.439     -0.006     0.011     -2.460     -2.315
  0.500      6.796     -0.036     -0.276     -0.015    -0.009      0.902      0.531
  1.000      6.605     -0.035     -0.247     -0.014    -0.014      0.434     -0.325
  1.500      6.204     -0.032     -0.228     -0.013    -0.012      0.561     -0.147
  2.000      5.718     -0.042     -0.211     -0.009    -0.010      0.697     -0.063
  2.500      5.133     -0.058     -0.234     -0.004    -0.007      0.475      0.420
  3.000      4.966     -0.055     -0.273     -0.006    -0.003     -0.037      0.849
  3.500      5.458     -0.009     -0.271     -0.009    -0.007     -0.964      0.813
  4.000      6.325      0.123     -0.318     -0.001    -0.011     -2.770      1.800
  4.500      7.990      0.286     -0.321      0.007    -0.015     -4.598      3.441
  5.000     11.701      0.373     -0.370     -0.005    -0.028     -6.299      1.734
  5.500     15.826      0.433     -0.386     -0.016    -0.034     -6.986     -0.036
  6.000     19.809      0.492     -0.404     -0.026    -0.042     -6.527     -1.176
  6.500     22.951      0.504     -0.400     -0.033    -0.047     -5.777     -0.348
  7.000     26.016      0.457     -0.279     -0.036    -0.063     -5.442      0.124
  7.500     29.140      0.429     -0.204     -0.039    -0.073     -5.529     -0.481
  8.000     31.835      0.396     -0.192     -0.040    -0.074     -4.414     -1.251
