# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.600     -0.039     -0.540     -0.014     0.015     -4.488     -3.536
  1.250      8.040     -0.065     -0.362     -0.015    -0.013      0.444     -0.243
  2.500      6.751     -0.098     -0.364     -0.003    -0.006      0.520      0.386
  3.750      7.551      0.014     -0.404     -0.009    -0.009     -2.056      1.395
  5.000     13.602      0.435     -0.475      0.014    -0.012     -7.246      1.680
  6.250     23.754      0.603     -0.500      0.001    -0.014     -6.807     -0.982
  7.500     31.743      0.531     -0.272      0.001    -0.038     -6.166     -0.358
