# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      9.554     -0.030     -0.515     -0.005     0.016     -2.334     -2.084
  0.500     10.610     -0.031     -0.309     -0.014    -0.007      0.586      0.278
  1.000     10.481     -0.028     -0.294     -0.014    -0.011      0.356     -0.464
  1.500     10.105     -0.030     -0.273     -0.012    -0.008      0.620     -0.337
  2.000      9.521     -0.048     -0.251     -0.008    -0.006      0.835     -0.050
  2.500      8.831     -0.072     -0.276     -0.001    -0.004      0.526      0.583
  3.000      8.663     -0.066     -0.323     -0.003     0.000     -0.079      0.932
  3.500      9.168     -0.013     -0.334     -0.007    -0.001     -1.187      0.919
  4.000      9.979      0.160     -0.399      0.006    -0.002     -3.370      2.271
  4.500     12.084      0.347     -0.450      0.016    -0.003     -5.821      3.316
  5.000     15.764      0.492     -0.506      0.016    -0.010     -7.469      2.057
  5.500     20.304      0.551     -0.538      0.008    -0.008     -8.215     -0.172
  6.000     24.452      0.612     -0.542      0.011    -0.010     -7.702     -1.230
  6.500     27.799      0.635     -0.530      0.015    -0.009     -6.941     -0.600
  7.000     30.951      0.603     -0.413      0.021    -0.019     -6.374      0.203
  7.500     34.368      0.581     -0.324      0.022    -0.025     -6.552     -0.528
  8.000     37.291      0.545     -0.292      0.026    -0.024     -4.371     -2.666
