# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      4.437     -0.013     -0.449     -0.015     0.009     -4.422     -3.513
  0.750      6.093     -0.025     -0.302     -0.021    -0.015      0.177     -0.537
  1.500      5.546     -0.043     -0.269     -0.014    -0.015      0.580     -0.177
  2.250      4.679     -0.059     -0.270     -0.005    -0.010      0.661      0.216
  3.000      4.345     -0.062     -0.320     -0.007    -0.007     -0.044      0.816
  3.750      5.253      0.028     -0.318     -0.011    -0.013     -1.699      1.135
  4.500      7.356      0.248     -0.318      0.006    -0.016     -4.696      2.891
  5.250     12.979      0.396     -0.374     -0.019    -0.035     -6.584      0.790
  6.000     19.021      0.498     -0.409     -0.040    -0.052     -6.335     -1.161
  6.750     23.499      0.485     -0.357     -0.050    -0.061     -5.427      0.058
  7.500     28.133      0.426     -0.200     -0.058    -0.086     -5.238     -0.454
