# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      9.575     -0.032     -0.508     -0.005     0.015     -2.338     -2.085
  0.250     10.950     -0.043     -0.344     -0.013    -0.003      1.564      0.939
  0.500     10.629     -0.032     -0.307     -0.014    -0.008      0.593      0.294
  0.750     10.540     -0.030     -0.299     -0.014    -0.010      0.271     -0.218
  1.000     10.504     -0.027     -0.293     -0.014    -0.011      0.353     -0.466
  1.250     10.327     -0.027     -0.278     -0.013    -0.010      0.477     -0.337
  1.500     10.128     -0.028     -0.273     -0.012    -0.009      0.623     -0.342
  1.750      9.860     -0.033     -0.261     -0.011    -0.007      0.708     -0.313
  2.000      9.543     -0.045     -0.252     -0.008    -0.007      0.843     -0.061
  2.250      9.154     -0.065     -0.257     -0.005    -0.005      0.784      0.342
  2.500      8.841     -0.068     -0.277     -0.001    -0.004      0.544      0.577
  2.750      8.677     -0.073     -0.293     -0.001    -0.003      0.257      0.810
  3.000      8.663     -0.063     -0.326     -0.003     0.000     -0.056      0.934
  3.250      8.883     -0.045     -0.338     -0.006    -0.001     -0.559      0.779
  3.500      9.157     -0.009     -0.337     -0.006    -0.002     -1.166      0.922
  3.750      9.297      0.088     -0.370      0.002    -0.002     -2.233      1.863
  4.000      9.962      0.165     -0.402      0.006    -0.003     -3.343      2.258
  4.250     10.878      0.263     -0.437      0.012    -0.003     -4.664      2.690
  4.500     12.049      0.352     -0.454      0.016    -0.004     -5.789      3.323
  4.750     13.730      0.458     -0.471      0.019    -0.011     -6.407      2.968
  5.000     15.711      0.497     -0.508      0.016    -0.010     -7.461      2.082
  5.250     17.987      0.535     -0.525      0.011    -0.008     -8.056      0.825
  5.500     20.248      0.556     -0.539      0.008    -0.007     -8.218     -0.167
  5.750     22.414      0.592     -0.538      0.009    -0.009     -8.118     -0.947
  6.000     24.394      0.617     -0.541      0.011    -0.010     -7.695     -1.234
  6.250     26.062      0.639     -0.541      0.015    -0.009     -7.267     -0.875
  6.500     27.737      0.640     -0.529      0.015    -0.009     -6.928     -0.610
  6.750     29.293      0.626     -0.478      0.019    -0.013     -6.497     -0.062
  7.000     30.879      0.608     -0.414      0.021    -0.018     -6.360      0.205
  7.250     32.515      0.603     -0.372      0.020    -0.021     -6.441      0.121
  7.500     34.291      0.587     -0.327      0.021    -0.025     -6.531     -0.526
  7.750     35.946      0.578     -0.314      0.022    -0.025     -5.910     -1.385
  8.000     37.208      0.552     -0.296      0.025    -0.024     -4.376     -2.632
  8.250     37.735      0.520     -0.282      0.028    -0.023     -1.197     -4.487
  8.500     38.233      0.535     -0.272      0.030    -0.023     -0.731     -3.130
