# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      4.942     -0.028     -0.482     -0.014     0.011     -4.494     -3.564
  1.250      6.334     -0.052     -0.307     -0.016    -0.015      0.474     -0.137
  2.500      5.099     -0.074     -0.313     -0.004    -0.008      0.504      0.331
  3.750      5.895      0.026     -0.351     -0.011    -0.013     -1.817      1.214
  5.000     11.675      0.381     -0.396     -0.002    -0.024     -6.543      1.741
  6.250     21.535      0.536     -0.437     -0.029    -0.043     -6.189     -0.832
  7.500     29.313      0.445     -0.209     -0.040    -0.073     -5.613     -0.435
