# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.179     -0.025     -0.391     -0.006     0.009     -1.971     -1.893
  0.500      6.073     -0.030     -0.193     -0.014    -0.012      0.765      0.385
  1.000      5.859     -0.024     -0.188     -0.014    -0.014      0.442     -0.197
  1.500      5.515     -0.021     -0.172     -0.013    -0.012      0.510     -0.178
  2.000      5.048     -0.029     -0.157     -0.010    -0.010      0.639     -0.086
  2.500      4.468     -0.043     -0.176     -0.005    -0.007      0.413      0.487
  3.000      4.371     -0.041     -0.212     -0.006    -0.004     -0.047      0.688
  3.500      4.877     -0.005     -0.218     -0.010    -0.008     -0.866      0.555
  4.000      5.680      0.111     -0.260     -0.005    -0.012     -2.493      1.760
  4.500      7.548      0.221     -0.288     -0.004    -0.018     -4.482      2.987
  5.000     10.975      0.319     -0.312     -0.010    -0.035     -5.816      1.760
  5.500     14.958      0.370     -0.318     -0.021    -0.043     -6.547      0.105
  6.000     18.967      0.432     -0.342     -0.037    -0.052     -6.048     -1.187
  6.500     22.051      0.432     -0.340     -0.048    -0.058     -5.328     -0.231
  7.000     25.107      0.384     -0.227     -0.052    -0.074     -5.153      0.086
  7.500     28.157      0.349     -0.161     -0.056    -0.084     -5.250     -0.597
  8.000     30.698      0.316     -0.152     -0.057    -0.086     -3.815     -1.564
