# DCB sat:
G 1     -10.186
G 3      12.882
G 4      -0.036
G 6      17.223
G 7     -15.714
G 8      14.301
G 9      15.089
G11      -7.813
G14      -6.371
G15     -14.213
G17     -19.665
G21     -13.603
G25      11.060
G26      18.063
G27      11.980
G28     -10.872
G30       9.122
G31     -17.925
G32       6.677
R 2       8.070
R 3     -10.021
R 4     -11.008
R 5       2.445
R 6       8.490
R 7      -9.416
R 8     -16.636
R 9      -3.023
R12      10.217
R14      12.947
R15       6.974
R16       6.804
R17      -0.513
R18      15.736
R19     -15.536
R20      -7.067
R21      -2.249
R22      -0.236
R24       4.023
# DCB rec:
G     -60.479
R     -29.419
