# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.327     -0.023     -0.560     -0.017     0.014     -4.341     -3.417
  0.750      9.982     -0.028     -0.417     -0.022    -0.010     -0.078     -0.745
  1.500      9.481     -0.062     -0.377     -0.013    -0.011      0.625     -0.359
  2.250      8.499     -0.098     -0.376     -0.003    -0.006      0.762      0.319
  3.000      8.136     -0.105     -0.430     -0.005    -0.003     -0.109      0.949
  3.750      9.023      0.009     -0.427     -0.007    -0.004     -2.190      1.510
  4.500     11.221      0.358     -0.455      0.032     0.004     -5.923      3.348
  5.250     17.424      0.512     -0.540      0.018     0.001     -8.146      0.622
  6.000     23.753      0.618     -0.556      0.014     0.005     -7.673     -1.093
  6.750     28.481      0.651     -0.513      0.029     0.004     -6.495      0.016
  7.500     33.461      0.618     -0.352      0.030    -0.012     -6.411     -0.322
