# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.118     -0.021     -0.411     -0.007     0.010     -2.371     -2.252
  0.750      6.008     -0.023     -0.228     -0.016    -0.013      0.380     -0.241
  1.500      5.508     -0.023     -0.204     -0.013    -0.012      0.536     -0.131
  2.250      4.694     -0.043     -0.197     -0.005    -0.009      0.621      0.231
  3.000      4.307     -0.046     -0.248     -0.006    -0.004     -0.024      0.799
  3.750      5.064      0.058     -0.265     -0.006    -0.010     -1.693      1.306
  4.500      7.265      0.258     -0.286      0.002    -0.017     -4.308      3.307
  5.250     12.840      0.376     -0.331     -0.017    -0.036     -6.378      0.899
  6.000     18.831      0.457     -0.365     -0.036    -0.051     -6.159     -1.179
  6.750     23.340      0.449     -0.332     -0.050    -0.061     -5.329      0.193
  7.500     27.969      0.381     -0.168     -0.054    -0.085     -5.218     -0.485
