# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.022     -0.017     -0.507     -0.017     0.011     -4.451     -3.508
  0.500      7.716     -0.008     -0.397     -0.025    -0.005      0.290     -0.006
  1.000      7.583     -0.043     -0.342     -0.018    -0.017      0.316     -0.441
  1.500      7.177     -0.051     -0.323     -0.014    -0.013      0.610     -0.273
  2.000      6.616     -0.065     -0.309     -0.009    -0.011      0.786     -0.008
  2.500      6.027     -0.082     -0.335     -0.003    -0.007      0.543      0.366
  3.000      5.869     -0.079     -0.374     -0.006    -0.006     -0.063      0.883
  3.500      6.364     -0.023     -0.361     -0.010    -0.008     -1.157      0.975
  4.000      7.065      0.124     -0.401      0.005    -0.008     -3.264      2.150
  4.500      8.904      0.302     -0.391      0.018    -0.008     -5.279      3.143
  5.000     12.644      0.409     -0.443      0.006    -0.016     -6.871      1.700
  5.500     17.102      0.506     -0.481     -0.013    -0.021     -7.533     -0.339
  6.000     20.992      0.557     -0.487     -0.015    -0.026     -7.009     -1.103
  6.500     24.077      0.586     -0.486     -0.011    -0.028     -6.229     -0.335
  7.000     27.171      0.539     -0.360     -0.012    -0.042     -5.841      0.215
  7.500     30.417      0.524     -0.282     -0.017    -0.051     -5.857     -0.397
  8.000     33.269      0.503     -0.272     -0.017    -0.053     -4.704     -1.468
