# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.478     -0.033     -0.488     -0.005     0.014     -2.294     -2.066
  0.250      9.824     -0.045     -0.322     -0.013    -0.004      1.520      0.880
  0.500      9.512     -0.034     -0.287     -0.014    -0.009      0.626      0.309
  0.750      9.416     -0.031     -0.280     -0.014    -0.010      0.308     -0.179
  1.000      9.371     -0.028     -0.274     -0.014    -0.012      0.373     -0.418
  1.250      9.193     -0.027     -0.259     -0.014    -0.010      0.476     -0.297
  1.500      9.000     -0.028     -0.255     -0.012    -0.009      0.605     -0.309
  1.750      8.742     -0.032     -0.243     -0.011    -0.007      0.679     -0.295
  2.000      8.438     -0.043     -0.234     -0.008    -0.007      0.807     -0.066
  2.250      8.060     -0.061     -0.240     -0.005    -0.006      0.750      0.327
  2.500      7.758     -0.064     -0.259     -0.002    -0.005      0.521      0.559
  2.750      7.600     -0.068     -0.274     -0.002    -0.003      0.244      0.786
  3.000      7.594     -0.059     -0.306     -0.004    -0.001     -0.052      0.892
  3.250      7.818     -0.042     -0.317     -0.006    -0.002     -0.535      0.725
  3.500      8.095     -0.008     -0.316     -0.007    -0.003     -1.113      0.855
  3.750      8.249      0.083     -0.347      0.001    -0.003     -2.129      1.764
  4.000      8.904      0.155     -0.377      0.004    -0.005     -3.192      2.166
  4.250      9.808      0.246     -0.407      0.009    -0.006     -4.455      2.608
  4.500     10.950      0.328     -0.423      0.012    -0.007     -5.555      3.270
  4.750     12.627      0.428     -0.438      0.015    -0.015     -6.133      2.874
  5.000     14.565      0.465     -0.472      0.011    -0.015     -7.177      2.043
  5.250     16.796      0.504     -0.484      0.005    -0.014     -7.757      0.840
  5.500     19.011      0.524     -0.497      0.003    -0.015     -7.932     -0.123
  5.750     21.173      0.560     -0.497      0.001    -0.016     -7.808     -0.932
  6.000     23.134      0.584     -0.504      0.002    -0.018     -7.413     -1.231
  6.250     24.770      0.604     -0.504      0.004    -0.018     -6.978     -0.823
  6.500     26.434      0.602     -0.493      0.003    -0.018     -6.654     -0.545
  6.750     27.988      0.585     -0.441      0.005    -0.023     -6.265     -0.051
  7.000     29.564      0.567     -0.378      0.006    -0.029     -6.148      0.178
  7.250     31.174      0.561     -0.338      0.006    -0.032     -6.219      0.085
  7.500     32.912      0.543     -0.295      0.006    -0.036     -6.296     -0.548
  7.750     34.521      0.533     -0.284      0.006    -0.037     -5.686     -1.340
  8.000     35.761      0.508     -0.268      0.009    -0.036     -4.286     -2.418
  8.250     36.351      0.474     -0.261      0.012    -0.037     -1.344     -4.195
  8.500     36.917      0.491     -0.248      0.011    -0.036     -0.957     -2.873
