# DCB sat:
G 1     -10.065
G 3      12.891
G 4      -0.070
G 6      17.297
G 7     -15.552
G 8      14.172
G 9      15.177
G11      -7.513
G14      -6.162
G15     -14.637
G17     -19.880
G21     -13.633
G25      11.140
G26      18.050
G27      11.787
G28     -10.919
G30       9.360
G31     -17.969
G32       6.528
R 2       7.965
R 3     -10.104
R 4     -11.058
R 5       2.442
R 6       8.550
R 7      -9.344
R 8     -17.120
R 9      -2.937
R12      10.164
R14      12.914
R15       6.997
R16       7.047
R17      -0.922
R18      15.604
R19     -15.542
R20      -7.049
R21      -2.045
R22       0.529
R24       3.910
# DCB rec:
G     -59.013
R     -27.954
