# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.122     -0.034     -0.404     -0.007     0.008     -2.300     -2.197
  0.250      6.340     -0.044     -0.252     -0.014    -0.009      1.259      0.588
  0.500      6.095     -0.033     -0.245     -0.015    -0.011      0.895      0.520
  0.750      5.987     -0.032     -0.228     -0.015    -0.014      0.383     -0.209
  1.000      5.893     -0.031     -0.221     -0.015    -0.015      0.439     -0.273
  1.250      5.676     -0.028     -0.209     -0.014    -0.013      0.481     -0.043
  1.500      5.504     -0.028     -0.205     -0.013    -0.012      0.535     -0.127
  1.750      5.296     -0.028     -0.196     -0.012    -0.011      0.575     -0.206
  2.000      5.038     -0.035     -0.190     -0.009    -0.010      0.661     -0.083
  2.250      4.690     -0.044     -0.199     -0.005    -0.009      0.626      0.229
  2.500      4.461     -0.048     -0.213     -0.004    -0.008      0.465      0.396
  2.750      4.343     -0.051     -0.229     -0.004    -0.007      0.264      0.565
  3.000      4.297     -0.046     -0.251     -0.006    -0.005     -0.014      0.802
  3.250      4.523     -0.032     -0.255     -0.008    -0.006     -0.421      0.646
  3.500      4.786     -0.004     -0.249     -0.010    -0.008     -0.883      0.740
  3.750      5.073      0.058     -0.271     -0.006    -0.011     -1.692      1.297
  4.000      5.661      0.116     -0.292     -0.004    -0.013     -2.565      1.673
  4.250      6.468      0.175     -0.297     -0.002    -0.015     -3.640      2.162
  4.500      7.286      0.258     -0.292      0.002    -0.018     -4.312      3.326
  4.750      8.993      0.296     -0.322     -0.003    -0.026     -5.128      2.634
  5.000     10.919      0.340     -0.333     -0.011    -0.033     -5.936      1.675
  5.250     12.879      0.376     -0.335     -0.018    -0.037     -6.404      0.889
  5.500     14.920      0.398     -0.343     -0.023    -0.041     -6.618      0.026
  5.750     17.034      0.435     -0.350     -0.033    -0.045     -6.427     -0.872
  6.000     18.872      0.456     -0.365     -0.036    -0.051     -6.162     -1.177
  6.250     20.394      0.465     -0.369     -0.039    -0.054     -5.671     -0.674
  6.500     21.955      0.462     -0.362     -0.047    -0.057     -5.436     -0.278
  6.750     23.390      0.448     -0.332     -0.050    -0.061     -5.337      0.192
  7.000     24.994      0.413     -0.243     -0.051    -0.074     -5.162      0.089
  7.250     26.496      0.404     -0.212     -0.054    -0.079     -5.205     -0.041
  7.500     28.022      0.382     -0.173     -0.055    -0.085     -5.242     -0.466
  7.750     29.432      0.368     -0.169     -0.057    -0.086     -4.837     -0.778
  8.000     30.649      0.351     -0.168     -0.057    -0.087     -4.380     -0.871
  8.250     31.572      0.343     -0.182     -0.063    -0.095     -1.737     -3.194
  8.500     32.048      0.337     -0.167     -0.067    -0.094     -0.728     -2.769
