# DCB sat:
G 1      -9.913
G 3      13.219
G 4       0.094
G 6      17.208
G 7     -15.379
G 8      14.444
G 9      14.183
G11      -7.793
G14      -6.190
G15     -15.823
G17     -17.251
G21     -13.220
G25      10.087
G26      17.954
G27      12.842
G28     -11.224
G30       9.433
G31     -18.075
G32       5.404
R 2       7.407
R 3     -10.188
R 4     -11.010
R 5       2.513
R 6       8.782
R 7      -9.629
R 8     -17.732
R 9      -3.216
R12       9.819
R14      13.089
R15       7.174
R16       6.929
R17      -0.357
R18      15.722
R19     -15.336
R20      -7.193
R21      -2.503
R22       0.762
R24       4.968
# DCB rec:
G     -60.035
R     -28.871
