# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.815     -0.018     -0.529     -0.017     0.013     -4.426     -3.485
  0.500      8.496     -0.007     -0.422     -0.025    -0.004      0.265      0.004
  1.000      8.379     -0.045     -0.364     -0.018    -0.016      0.286     -0.484
  1.500      7.975     -0.055     -0.344     -0.014    -0.013      0.620     -0.309
  2.000      7.397     -0.071     -0.330     -0.008    -0.010      0.815     -0.003
  2.500      6.794     -0.090     -0.356     -0.003    -0.006      0.558      0.388
  3.000      6.631     -0.087     -0.396     -0.005    -0.005     -0.072      0.909
  3.500      7.115     -0.028     -0.382     -0.010    -0.006     -1.216      1.045
  4.000      7.806      0.130     -0.426      0.007    -0.006     -3.423      2.251
  4.500      9.677      0.323     -0.419      0.023    -0.004     -5.515      3.230
  5.000     13.502      0.432     -0.477      0.013    -0.010     -7.148      1.672
  5.500     18.006      0.526     -0.516     -0.005    -0.012     -7.815     -0.364
  6.000     21.928      0.580     -0.517     -0.004    -0.014     -7.268     -1.086
  6.500     25.067      0.617     -0.517      0.003    -0.015     -6.446     -0.417
  7.000     28.167      0.574     -0.393      0.005    -0.028     -6.053      0.240
  7.500     31.470      0.562     -0.313      0.001    -0.036     -6.085     -0.372
  8.000     34.373      0.547     -0.297      0.001    -0.036     -4.755     -1.685
