# DCB sat:
G 1      -9.463
G 3      13.107
G 4       0.052
G 6      17.114
G 7     -15.088
G 8      14.562
G 9      14.795
G11      -7.916
G14      -5.655
G15     -15.621
G17     -18.010
G21     -13.494
G25      10.088
G26      17.747
G27      12.304
G28     -11.310
G30       9.828
G31     -18.087
G32       5.048
R 2       7.249
R 3     -10.163
R 4     -11.031
R 5       2.593
R 6       8.806
R 7      -9.266
R 8     -17.883
R 9      -2.763
R12       9.608
R14      13.016
R15       7.277
R16       7.540
R17      -0.657
R18      15.731
R19     -15.305
R20      -7.250
R21      -2.691
R22       0.900
R24       4.291
# DCB rec:
G     -58.130
R     -27.065
